date,volatility
2017-08-18,1.38665438761e-06
2017-08-19,1.19126120237e-06
2017-08-20,6.05073753424e-07
2017-08-21,9.56660623238e-07
2017-08-22,2.006549183e-06
2017-08-23,6.49164894532e-07
2017-08-24,3.4440655137e-07
2017-08-25,5.79861001493e-07
2017-08-26,2.33298264278e-07
2017-08-27,2.15608703944e-07
2017-08-28,2.77330699994e-07
2017-08-29,6.47862787677e-07
2017-08-30,2.53425812707e-07
2017-08-31,1.77950185181e-07
2017-09-01,4.88524681832e-07
2017-09-02,2.94227234155e-06
2017-09-03,8.77452602566e-07
2017-09-04,4.34850128857e-06
2017-09-05,1.21638309453e-06
2017-09-06,7.15043348493e-07
2017-09-07,2.69674387609e-07
2017-09-08,3.22018087475e-06
2017-09-09,6.82058299835e-07
2017-09-10,1.15657929706e-06
2017-09-11,9.0924438906e-07
2017-09-12,1.1856941481e-06
2017-09-13,2.34916785124e-06
2017-09-14,6.51176202604e-06
2017-09-15,1.19260612449e-05
2017-09-16,4.81421641226e-06
2017-09-17,1.9597819857e-06
2017-09-18,2.07087223025e-06
2017-09-19,1.27315541428e-06
2017-09-20,8.30768548818e-07
2017-09-21,1.58343099755e-06
2017-09-22,1.28989261834e-06
2017-09-23,5.47612208582e-07
2017-09-24,6.40170896947e-07
2017-09-25,7.15551256456e-07
2017-09-26,2.8572254668e-07
2017-09-27,3.96586142226e-07
2017-09-28,5.10700063662e-07
2017-09-29,5.16127553339e-07
2017-09-30,3.40861650232e-07
2017-10-01,1.33765929625e-07
2017-10-02,2.36600770119e-07
2017-10-03,6.35763481258e-07
2017-10-04,3.03454905405e-07
2017-10-05,2.22688693878e-07
2017-10-06,2.25228223035e-07
2017-10-07,1.24962950689e-07
2017-10-08,1.78554992662e-07
2017-10-09,7.64364487417e-07
2017-10-10,4.93296328003e-07
2017-10-11,2.15240764991e-07
2017-10-12,2.83901775797e-06
2017-10-13,2.18581457337e-06
2017-10-14,5.18989216646e-07
2017-10-15,1.23377664727e-06
2017-10-16,5.81955294921e-07
2017-10-17,3.94785223494e-07
2017-10-18,1.585891313e-06
2017-10-19,5.44079340254e-07
2017-10-20,9.36046170636e-07
2017-10-21,1.2274752573e-06
2017-10-22,1.2096855059e-06
2017-10-23,2.36464407977e-06
2017-10-24,1.37390912297e-06
2017-10-25,1.31264610151e-06
2017-10-26,8.96603483229e-07
2017-10-27,4.54819648625e-07
2017-10-28,2.15639280857e-07
2017-10-29,9.90640363239e-07
2017-10-30,3.75688073033e-07
2017-10-31,4.86113670307e-07
2017-11-01,1.06900761704e-06
2017-11-02,3.40386276673e-06
2017-11-03,1.44904824826e-06
2017-11-04,6.86126056468e-07
2017-11-05,1.19937388301e-06
2017-11-06,1.57357351135e-06
2017-11-07,7.67984795351e-07
2017-11-08,3.6105151812e-06
2017-11-09,8.69011764906e-07
2017-11-10,2.99382536178e-06
2017-11-11,3.54040871916e-06
2017-11-12,1.40998945357e-05
2017-11-13,4.09262902039e-06
2017-11-14,9.32350966513e-07
2017-11-15,1.09425150303e-06
2017-11-16,1.64800621919e-06
2017-11-17,2.11108695915e-06
2017-11-18,5.07632258794e-07
2017-11-19,5.97697332451e-07
2017-11-20,1.21517029331e-06
2017-11-21,1.05155503323e-06
2017-11-22,3.03201865451e-07
2017-11-23,4.13535886276e-07
2017-11-24,3.57036755471e-07
2017-11-25,6.70391481956e-07
2017-11-26,1.93562075341e-06
2017-11-27,6.39757229406e-07
2017-11-28,7.54025976703e-07
2017-11-29,2.28816282396e-05
2017-11-30,9.84123469768e-06
2017-12-01,3.09225114822e-06
2017-12-02,9.96038296107e-07
2017-12-03,5.51931572731e-06
2017-12-04,1.43565803721e-06
2017-12-05,8.54648225425e-07
2017-12-06,5.8451204668e-06
2017-12-07,4.74674189882e-05
2017-12-08,1.78752494309e-05
2017-12-09,1.35017138471e-05
2017-12-10,1.33332035342e-05
2017-12-11,2.64262662112e-06
2017-12-12,3.4449444224e-06
2017-12-13,4.15977440517e-06
2017-12-14,1.99764984881e-06
2017-12-15,7.63931353778e-07
2017-12-16,1.43067739142e-06
2017-12-17,3.53274935982e-06
2017-12-18,1.29302565242e-06
2017-12-19,1.97504917742e-05
2017-12-20,5.82765564517e-06
2017-12-21,1.70968991572e-05
2017-12-22,5.61337308298e-05
2017-12-23,1.00825689929e-05
2017-12-24,8.66495429096e-06
2017-12-25,2.82469453387e-06
2017-12-26,2.75031183529e-06
2017-12-27,7.30061164699e-06
2017-12-28,5.41531157912e-06
2017-12-29,3.08175270776e-06
2017-12-30,6.1586526998e-06
2017-12-31,3.32910202963e-06
2018-01-01,2.6611714268e-06
2018-01-02,2.76027981038e-06
2018-01-03,1.30739995184e-06
2018-01-04,1.14856300368e-06
2018-01-05,1.75939382131e-06
2018-01-06,9.37919865675e-07
2018-01-07,1.57180375796e-06
2018-01-08,4.27580925455e-06
2018-01-09,2.43002695542e-06
2018-01-10,6.33450525283e-06
2018-01-11,5.9060236972e-06
2018-01-12,2.26037553897e-06
2018-01-13,1.01568825524e-06
2018-01-14,1.50937669361e-06
2018-01-15,3.04619433902e-06
2018-01-16,2.86853260433e-05
2018-01-17,2.39817775415e-05
2018-01-18,7.68678667047e-06
2018-01-19,3.26878698709e-06
2018-01-20,3.17702005657e-06
