Date,Total tx fees (BTC),Num txs,Avg tx fee (BTC),BTC-USD,Avg tx fee (USD)
2016-01-17,35.06789583,190301.0,0.00018427594090414658,370.4,0.0682558085108959
2016-01-18,34.12662086,192731.0,0.00017706866492676323,385.45,0.06825111689602088
2016-01-19,38.60077135,213934.0,0.0001804330838015463,385.28,0.06951725852705976
2016-01-20,40.1235823,205735.0,0.00019502555374632417,378.66,0.07384837618158312
2016-01-21,46.36233719,196033.0,0.00023650271734860967,408.33,0.09657115457495778
2016-01-22,44.97159781,210240.0,0.00021390600175989345,408.0,0.08727364871803653
2016-01-23,50.43939975,226106.0,0.00022307855496979292,385.7,0.08604139865184912
2016-01-24,41.96522497,200913.0,0.00020887262133361206,388.5,0.08114701338810829
2016-01-25,37.10747183,193572.0,0.0001916985505651644,404.75,0.07758998834125029
2016-01-26,44.57485172,210592.0,0.00021166450634402067,387.09,0.08193321376070696
2016-01-27,47.44277836,236175.0,0.00020087976441198263,394.12,0.0791707327500506
2016-01-28,47.63990486,226385.0,0.00021043755045608146,394.45,0.08300709177740133
2016-01-29,50.08400338,231454.0,0.00021638858425432266,382.44,0.08275565016222315
2016-01-30,45.3790109,222622.0,0.00020383884297149428,377.26,0.07690024189942593
2016-01-31,43.85418346,209984.0,0.00020884535707482474,378.24,0.07899366785998171
2016-02-01,31.51669344,168625.0,0.00018690403819125278,376.86,0.07043665583275553
2016-02-02,51.0283515,221764.0,0.00023010205218159847,372.0,0.08559796341155462
2016-02-03,57.71349212,231998.0,0.0002487671967861792,373.48,0.09290957265570221
2016-02-04,48.81393346,200087.0,0.00024396354315872596,368.38,0.08987129002881147
2016-02-05,41.25773034,201065.0,0.00020519598309004552,385.06,0.07901276524865293
2016-02-06,41.04809873,215910.0,0.00019011670941596035,386.49,0.07347820702217452
2016-02-07,42.22773725,232752.0,0.00018142803176771842,373.04,0.06767991297062968
2016-02-08,38.64301185,212134.0,0.00018216321688178228,373.74,0.06808168067739731
2016-02-09,40.9030054,220559.0,0.00018545153632361407,375.8,0.06969268735041417
2016-02-10,42.466277,230799.0,0.00018399679807971437,372.61,0.06855904693248237
2016-02-11,44.48599145,233941.0,0.0001901590206505059,378.98,0.07206646564612873
2016-02-12,44.34470738,227463.0,0.0001949534974039734,376.75,0.07344873014694699
2016-02-13,39.88170509,202906.0,0.00019655261594038616,381.46,0.0749769608766197
2016-02-14,36.80013215,190560.0,0.00019311572286943746,388.6,0.0750447699070634
2016-02-15,34.63112968,188927.0,0.00018330429044022294,402.38,0.07375798038733691
2016-02-16,40.18686148,207397.0,0.00019376780512736443,402.64,0.07801866905648201
2016-02-17,41.80226206,218780.0,0.00019106985126611205,406.69,0.0777061978114151
2016-02-18,44.75593799,227403.0,0.00019681331376455015,418.04,0.08227583768613254
2016-02-19,42.68131047,212765.0,0.00020060306192277866,418.97,0.08404666485378658
2016-02-20,46.31819386,215552.0,0.00021488176337960214,418.02,0.08982487472794129
2016-02-21,43.09210135,225259.0,0.00019130024260961826,439.48,0.08407263062207504
2016-02-22,40.65663231,209276.0,0.00019427278956975476,434.67,0.08444455344228531
2016-02-23,43.53246983,224964.0,0.0001935086050656994,438.5,0.08485352332130919
2016-02-24,48.21733873,246578.0,0.00019554598840934714,417.0,0.08154267716669776
2016-02-25,44.91575935,225112.0,0.00019952627736415652,423.1,0.08441956795277462
2016-02-26,47.68274149,218699.0,0.00021802907873378477,421.4,0.0918774537784169
2016-02-27,43.1486082,209880.0,0.0002055870411663808,424.34,0.08723880504854202
2016-02-28,38.20952225,182423.0,0.00020945561826085527,432.0,0.09048482708868948
2016-02-29,42.61977032,224697.0,0.00018967663262081826,433.47,0.0822191299421461
2016-03-01,53.45252038,265695.0,0.00020118000105383995,436.18,0.08775069285966391
2016-03-02,55.99857717,260619.0,0.00021486759280789198,431.87,0.09279486730594431
2016-03-03,77.34600309,276448.0,0.00027978499786578305,429.99,0.12030475123230805
2016-03-04,72.72445709,221257.0,0.0003286877119819938,421.44,0.13852214933769147
2016-03-05,52.60628503,212104.0,0.00024802118314600386,416.48,0.10329586235664769
2016-03-06,63.03314682,238117.0,0.0002647150216910174,401.0,0.10615072369809798
2016-03-07,41.1407975,171486.0,0.00023990761636518432,408.86,0.09808862802706926
2016-03-08,44.13385665,183530.0,0.00024047216613087778,411.94,0.0990601041159538
2016-03-09,43.94045893,193929.0,0.00022658013463690318,412.39,0.0934393817229125
2016-03-10,52.6052871,187623.0,0.00028037760349210915,413.1,0.11582398800259029
2016-03-11,43.43549045,192611.0,0.00022550887773803159,416.0,0.09381169313902114
2016-03-12,41.22294318,193874.0,0.00021262749610571815,421.22,0.0895629539096506
2016-03-13,29.31003112,141116.0,0.0002077016859888319,412.44,0.08566448336923382
2016-03-14,43.83967453,187401.0,0.000233935115234177,413.89,0.09682340484427351
2016-03-15,42.7063754,197677.0,0.00021604119548556484,414.78,0.08960956706350258
2016-03-16,42.7063754,197677.0,0.00021604119548556484,414.78,0.08960956706350258
2016-03-17,48.1134711,215973.0,0.00022277539831367808,415.99,0.09267233794450695
2016-03-18,46.26447738,206973.0,0.00022352904668724907,418.64,0.09357820010514994
