time,low,high,open,close,volumefrom,volumeto
1462647600,527200,529000,527400,529000,5.85,3090852.42
1462651200,529000,529000,529000,529000,0.01989,10520.75
1462654800,527200,529000,529000,527200,0.5807,306122.45
1462658400,527200,529000,527200,529000,1.78,939529
1462662000,528000,529000,529000,528000,0.2354,124301.76
1462665600,527300,528000,528000,527300,11.28,5953134.25
1462669200,527300,528000,527300,528000,1.95,1031900.31
1462672800,527900,528000,528000,528000,20.08,10599599.55
1462676400,527300,528000,528000,527900,21.75,11478205.05
1462680000,527300,527900,527900,527300,7.71,4067282.15
1462683600,527300,527900,527300,527800,9.82,5182375.52
1462687200,527400,527900,527800,527900,78.47,41400899.89
1462690800,527800,527900,527900,527800,6.75,3562344.63
1462694400,527800,527900,527900,527900,0.982,518365.42
1462698000,526000,527900,527900,527900,139.66,73662421.36
1462701600,526100,527900,527900,526100,2.12,1114552.27
1462705200,526100,527000,526100,527000,5.51,2905400
1462708800,526600,527000,527000,526600,24.06,12674114.01
1462712400,526000,526900,526600,526700,20.93,11018209.64
1462716000,526000,526700,526700,526500,3.83,2017588.18
1462719600,525600,526500,526500,526300,13,6841036.21
1462723200,526300,526300,526300,526300,0,0
1462726800,526200,526300,526300,526200,0.05,26310
1462730400,526200,526300,526200,526300,0.16,84169.79
1462734000,525700,526300,526300,526300,17.25,9077210
1462737600,526300,526500,526300,526400,22.39,11785619.5
1462741200,526400,526800,526400,526600,8.29,4363728.27
1462744800,526600,526800,526600,526600,2.3,1212889.6
1462748400,526600,526800,526600,526600,3.66,1928290.29
1462752000,526600,527000,526600,527000,67.63,35639024.99
1462755600,526700,527600,527000,527500,108.57,57256811.75
1462759200,526900,527500,527500,527500,57.88,30529257.57
1462762800,527400,527900,527500,527900,126.99,67028366.66
1462766400,527800,527900,527900,527800,50.73,26781140.75
1462770000,527700,528000,527800,527800,46.94,24778516.34
1462773600,527000,527800,527800,527600,45.06,23773536.21
1462777200,527100,527700,527600,527700,28.21,14878147.42
1462780800,527200,527700,527700,527300,46.37,24463489.61
1462784400,527000,527700,527300,527700,125.12,66014270.26
1462788000,527600,527700,527700,527600,34.19,18041722.52
1462791600,527600,527700,527600,527700,42.48,22417683.84
1462795200,527600,527700,527700,527700,51.82,27345245.57
1462798800,527700,530000,527700,529600,108.61,57379451.8
1462802400,529600,531300,529600,531300,25,13262704.87
1462806000,530600,531500,531300,531400,24.5,13014163.98
1462809600,530500,532500,531400,532500,14.28,7591783.3
1462813200,532500,532900,532500,532800,11.31,6022457.42
1462816800,532800,535000,532800,535000,20.58,10982265.66
1462820400,533700,535000,535000,533700,0.7853,419707.63
1462824000,533700,533700,533700,533700,0,0
1462827600,533600,535000,533700,533600,14.03,7485478.12
1462831200,533600,534500,533600,533600,4.9,2614512.62
1462834800,533600,534400,533600,533600,9.83,5253634
1462838400,532900,534800,533600,533700,14.63,7813394.27
1462842000,532800,533700,533700,532800,48.23,25702650.32
1462845600,532800,534900,532800,534800,82.65,44141225.78
1462849200,534800,537000,534800,537000,184.35,98848648.39
1462852800,536600,537400,537000,537300,97.1,52166698.67
1462856400,536600,537900,537300,537000,48.69,26153170.42
1462860000,536000,539900,537000,536900,146.01,78465845.35
1462863600,536000,537000,536900,536100,25.19,13519809.68
1462867200,536000,536900,536900,536800,18.54,9945663.37
1462870800,536000,536800,536800,536000,42.05,22560516.26
1462874400,529800,536000,536000,529800,159.57,84866715.69
1462878000,521000,530000,529800,526900,156.27,82337547.5
1462881600,526900,529400,526900,528400,82.89,43768389.33
1462885200,527700,530000,528400,530000,24.26,12827864.91
1462888800,528000,530000,530000,528400,36.27,19207449.25
1462892400,528000,529000,528400,528100,63.12,33353769.21
1462896000,527100,528400,528100,527700,15.12,7982984.92
1462899600,527700,528000,527700,527900,1.85,978360
1462903200,527900,527900,527900,527900,11.45,6042950
1462906800,527900,527900,527900,527900,0,0
1462910400,527900,527900,527900,527900,4.9,2586091.11
1462914000,527900,529100,527900,528000,20.49,10829481.32
1462917600,527400,529400,528000,527400,36.98,19546552.58
1462921200,526600,528400,527400,526600,49.03,25849293.71
1462924800,526600,529000,526600,527600,3.34,1763043.07
1462928400,527600,530000,527600,530000,43.91,23233845.9
1462932000,528600,531400,530000,529300,42.2,22324419.9
1462935600,529200,530000,529300,529400,19.99,10582503.54
1462939200,527600,530000,529400,527700,51.1,26990619.65
1462942800,527700,530000,527700,529000,5.82,3082102.67
1462946400,528600,529500,529000,529300,41.18,21776405.37
1462950000,528000,529400,529300,528000,20.08,10617638.15
1462953600,529400,531000,530300,529600,71.66,37981347.36
1462957200,529000,530300,529600,530300,36.92,19542342.96
1462960800,528600,530400,530300,528600,5.81,3072511.28
1462964400,528600,530300,528600,530200,12.33,6526868.76
1462968000,528200,530200,530200,528400,52.53,27812575.3
1462971600,528400,529400,528400,528500,49.61,26235738.37
1462975200,528000,528600,528500,528000,84.03,44402160.39
1462978800,527500,528200,528000,527600,16.83,8881386.23
1462982400,527600,529300,527600,529300,7.34,3885627.57
1462986000,529000,529300,529300,529000,6.02,3187401.85
1462989600,529000,529400,529000,529400,19.13,10124395.3
1462993200,528200,529400,529400,528200,10,5282000
1462996800,528200,528300,528200,528300,0.01998,10557.02
1463000400,528000,529000,528300,528000,12.05,6367853.07
1463004000,528000,529400,528000,529400,22.01,11641434
1463007600,527600,529400,529400,529100,6.38,3376178.8
1463011200,527500,529100,529100,529100,7.78,4107835.62
1463014800,527800,529100,529100,528200,32.87,17364373.1
1463018400,527700,528200,528200,527700,22.73,12001034.48
1463022000,527700,528800,527700,528400,29.88,15787893.39
1463025600,526500,528400,528400,526600,94.54,49836352.92
1463029200,526600,528200,526600,527100,20.81,10978265.57
1463032800,524000,527300,527100,524200,123.09,64819819.65
1463036400,524200,525300,524200,524300,58.78,30847112.03
1463040000,524900,526400,525000,525100,57.04,29984305.59
1463043600,523600,525400,525100,523600,68.44,35913898.15
1463047200,523600,525000,523600,524900,16.03,8413388.21
1463050800,524800,525000,524900,524900,13.49,7078524.83
1463054400,524800,525000,524900,525000,12.63,6628400
1463058000,524700,525000,525000,524700,25.56,13418823
1463061600,524500,526400,524700,526400,85.17,44775656.01
1463065200,526400,528400,526400,528400,65.38,34477613.77
1463068800,527400,528400,528400,527600,14.46,7627163.16
1463072400,527400,527600,527600,527400,7.91,4169999
1463076000,527400,527400,527400,527400,6.52,3440000
1463079600,527400,527400,527400,527400,0.1716,90476.8
1463083200,526700,527400,527400,526700,19.37,10202179
1463086800,526600,527400,526700,526600,27.54,14522584
1463090400,526600,528400,526600,528400,28.05,14794944.47
1463094000,528400,529400,528400,529400,25.58,13541239.89
1463097600,528500,529600,529400,528700,22.13,11703414.07
1463101200,528500,529600,528700,529000,14.26,7543379.11
1463104800,528600,530000,529000,530000,18.26,9668336.96
1463108400,529400,530000,530000,530000,50.93,26991759.92
1463112000,529400,530000,530000,529400,42.68,22601915.49
1463115600,529000,529900,529400,529000,19.89,10531291.31
1463119200,529000,529900,529000,529400,36.39,19256675.99
1463122800,529300,530000,529400,529300,64.15,33979233.3
1463126400,529300,529900,529300,529500,27.2,14402953.22
1463130000,529500,530000,529500,529800,21.9,11605092.07
1463133600,529600,530900,529800,530500,58.68,31102019.23
1463137200,529800,530500,530500,530500,19.59,10392149.27
1463140800,529600,531000,530500,530000,25.87,13719690.72
1463144400,529600,530600,530000,530600,51.96,27536395.55
1463148000,529600,530600,530600,530000,14.43,7652163.16
1463151600,529600,530000,530000,529600,17.12,9072797.52
1463155200,529600,531400,529600,531400,69.17,36735904.82
1463158800,529600,532000,531400,530600,19.94,10561677.86
1463162400,530600,532000,530600,532000,0.1327,70570.84
1463166000,531900,532000,532000,532000,8.71,4634244
1463169600,532000,532000,532000,532000,1.68,893900
1463173200,531600,532000,532000,531600,6.6,3507411.53
1463176800,531600,531600,531600,531600,5.78,3071150.28
1463180400,531600,532300,531600,531600,8.26,4391650.26
1463184000,530600,532400,531600,532400,28.91,15357640.64
1463187600,531000,533300,532400,533300,48.26,25704583.62
1463191200,532700,533300,533300,532700,11.58,6174141.93
1463194800,532200,533300,532700,532200,6.24,3322122.23
1463198400,532200,533200,532200,532200,22.72,12095357
1463202000,530600,532400,532200,530600,13.57,7208757.4
1463205600,530600,532400,530600,532300,22.41,11918400.84
1463209200,531800,532900,532300,532900,43.31,23051418.13
1463212800,532500,533400,533000,533400,15.91,8481758.67
1463216400,531600,533400,533400,533300,42.19,22498517.93
1463220000,531600,533300,533300,532100,9.03,4812702.35
1463223600,532000,532900,532100,532100,34.45,18337030
1463227200,531000,532300,532100,531000,2.77,1474221.87
1463230800,531000,532300,531000,531300,7.84,4168235.09
1463234400,530700,532400,531300,530700,9.88,5250744.96
1463238000,530700,531800,530700,531800,2.2,1172490
1463241600,531000,531900,531800,531900,3.38,1796949
1463245200,531900,532000,531900,532000,2,1064000
1463248800,532000,532200,532000,532200,0.03766,20042
1463252400,532200,532200,532200,532200,1,532200
1463256000,532200,532200,532200,532200,0,0
1463259600,532200,532200,532200,532200,0.1271,67618.98
1463263200,531600,532200,532200,531600,0.7268,386366.87
1463266800,531600,532200,531600,531800,3.97,2111250
1463270400,531600,532200,531800,532200,6.22,3304876.77
1463274000,531700,532700,532200,532700,7.67,4086080.81
1463277600,532000,532800,532700,532000,1.11,593321.51
1463281200,532000,532100,532000,532000,1.06,563787.28
1463284800,531700,532000,532000,532000,3.42,1818065.34
1463288400,531900,532000,532000,532000,5.91,3144751
1463292000,532000,532900,532000,532900,3.85,2051139.81
1463295600,532500,532900,532900,532600,1.92,1024881.05
1463299200,531500,532900,532900,532400,8.5,4522545.06
1463302800,531500,532400,532400,532000,5.4,2870744.36
1463306400,531400,532100,532000,531400,35.29,18759836.42
1463310000,531000,531400,531400,531000,1.44,763687.45
1463313600,531000,531100,531000,531100,2.2,1169164.45
1463317200,530600,532800,531100,532300,56.11,29852403.63
1463320800,530700,533300,532300,533300,41.55,22117256.5
1463324400,530700,533300,533300,532400,23.33,12401867.93
1463328000,532400,532400,532400,532400,0.7047,375172
1463331600,531600,533400,532400,531600,10.24,5461679
1463335200,531600,533400,531600,533400,17.36,9261348.37
1463338800,533400,534000,533400,534000,8.57,4574747
1463342400,534000,534000,534000,534000,0,0
1463346000,532600,534000,534000,532600,6.84,3647136.42
1463349600,532600,534000,532600,534000,8.6,4589673.83
1463353200,533600,534000,534000,534000,12.05,6434130
1463356800,533600,534000,534000,533600,11.21,5980877.8
1463360400,533000,534600,533600,534600,70.09,37409812.24
1463364000,533100,534900,534600,534900,35.34,18857128.63
1463367600,534000,535000,534900,534000,34.08,18214304.28
1463371200,533600,534400,534000,534000,10.76,5743539.87
1463374800,532500,534000,534000,533000,35.49,18922599.31
1463378400,531600,533300,533000,533000,50.37,26843262.16
1463382000,532400,533400,533000,532500,32.9,17533601.4
1463385600,531700,534100,533200,534100,34.45,18364679.09
1463389200,533600,536200,534100,535900,74.14,39686427.74
1463392800,535000,535900,535900,535400,41.87,22418989.31
1463396400,535000,535400,535400,535100,2.74,1465132
1463400000,535000,535400,535100,535100,24.49,13109013.82
1463403600,535100,536400,535100,535900,77.45,41514450.67
1463407200,535000,536300,535900,536300,63.05,33791787.38
1463410800,535300,536300,536300,535300,15.03,8051250.92
1463414400,535300,536300,535300,536000,30.27,16222662.36
1463418000,535400,536400,536000,535400,11.43,6124990.89
1463421600,535400,535400,535400,535400,0,0
1463425200,535400,537000,535400,535500,89.98,48261769.97
1463428800,532600,535500,535500,532700,46.07,24557688.26
1463432400,532500,533000,532700,533000,31.47,16766530.04
1463436000,533000,534400,533000,533000,11.48,6116811.71
1463439600,533000,535400,533000,533600,82.15,43948356.93
1463443200,532600,535400,533600,533400,97.34,51974263.26
1463446800,531500,533400,533400,531700,117.29,62403960.03
1463450400,531200,531700,531700,531200,56.23,29889315.72
1463454000,531200,532400,531200,531800,100,53216674.09
1463457600,531700,532400,531800,532400,66.92,35595774.28
1463461200,531600,532400,532400,531700,62.2,33079632.65
1463464800,531200,533000,531700,533000,41.34,21994981.45
1463468400,531300,533100,533000,532300,33.12,17629257.72
1463472000,532300,532400,532300,532400,62.35,33193130.01
1463475600,531700,533100,532400,532800,99.18,52801943.91
1463479200,531600,532800,532800,532000,31.38,16695311.14
1463482800,532000,532400,532000,532400,68.36,36373778.85
1463486400,531300,532400,532400,531400,47.66,25346002.02
1463490000,531300,532000,531400,531300,72.56,38555131.69
1463493600,531300,533000,531300,531400,85.76,45585988.47
1463497200,531400,533000,531400,532300,7.66,4081548.8
1463500800,531300,532400,532300,532400,36.31,19308932.35
